"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home"
475626,"Principal Data Analyst","Realtime Recruitment","Anywhere","Full-time","160000.0","2023-02-02 14:16:03",1
587198,"Data Architect","Motion Recruitment","Anywhere","Full-time","120000.0","2023-07-18 06:35:18",1
205303,"Data Analyst, Risk User Experience","Stripe","Canada","Full-time","111175.0","2023-09-04 07:16:18",""
1180796,"Data Analyst, Growth","Stripe","Canada","Full-time","111175.0","2023-04-12 18:31:14",""
409209,"Data Analyst (VBA, Tableau)","Sun Life","Canada","Full-time","109000.0","2023-11-09 19:11:57",""
629221,"Analytics Engineering Lead","Swiss Re","Canada","Full-time","108415.5","2023-11-27 11:52:42",""
1591043,"Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","Full-time","105000.0","2023-06-30 06:13:33",""
827579,"Data Analyst - Game Operations","HoYoverse","Canada","Full-time","105000.0","2023-07-06 14:10:17",""
1232872,"Analytics Lab Architect","Swiss Re","Canada","Full-time","101014.0","2023-12-24 08:20:10",""
973984,"Data Analyst - HoYolab and Content Creator","HoYoverse","Canada","Full-time","100500.0","2023-07-05 22:11:52",""
452146,"Data Analyst","ATB Financial","Edmonton, AB, Canada","Full-time","100500.0","2023-05-31 12:15:15",""
995289,"Operation Data Analyst - Genshin Impact","HoYoverse","Canada","Full-time","100500.0","2023-07-06 01:11:52",""
149920,"Data Analyst 2","Zynga","Canada","Full-time","99150.0","2023-07-04 23:10:40",""
1201997,"Data Strategy Product Manager","Kinaxis","Canada","Full-time","99150.0","2023-01-24 10:18:13",""
927960,"Instructor - Data Analytics Program","SAIT","Calgary, AB, Canada","Full-time","99150.0","2023-02-07 14:16:55",""
