"skills","avg_salary","salary_count"
"looker","130250","2"
"snowflake","123333","3"
"redshift","120000","1"
"typescript","108416","1"
"bigquery","107833","3"
"spark","107479","4"
"hadoop","107167","3"
"aws","105000","2"
"gcp","105000","2"
"azure","103671","3"
"javascript","101750","2"
"databricks","101014","1"
"sheets","100625","4"
"visio","100500","1"
"jira","100500","1"
"express","99150","1"
"sap","99150","1"
"r","98500","1"
"tableau","95315","10"
"python","92494","14"
"power bi","92100","5"
"sql","91092","17"
"sql server","90000","1"
"sas","88750","8"
"vba","83875","4"
"excel","83563","9"
"spss","79000","2"
"alteryx","63000","1"
"c","63000","1"
"powerpoint","49567","1"
"outlook","49567","1"
"word","49567","1"
